# The YANC instruction set: one row per mnemonic, and the source of truth that
# Scripts/check_isa.py holds the hand-written copies to. The ISA is spelled out
# in four places that nothing keeps in step -- ASMComp.l (mnemonic -> opcode +
# operand class), instr_dec.v and ula.v (opcode -> control signals and ALU
# operation) and core.v (which names the flow-control opcodes in localparams)
# -- and a disagreement between them is silent: a program assembles and then
# runs as a different program. TODO.md item 10.2.
#
# The opcodes are numbered by family: NOP, memory and stack, I/O, flow control
# (kept below 32), int arithmetic, float arithmetic, int unary, float unary,
# conversions, logic, comparisons, shifts.
#
# operand: none    no operand
#          data    an address in data memory (LDI/ILI/STI/ISI also take a
#                  number, used as the raw base address: LDI 0 reads mem[acc],
#                  LDI 3 reads mem[acc + 3] -- how a pointer is dereferenced)
#          code    an address in instruction memory
#          in      an input port
#          out     an output port
#          offset  a data address plus a constant offset (array access)
#          lea     the ADDRESS of a data name, as a constant (pseudo-op)
#
# acc:     what it does to the accumulator -- r, w, rw or -
# stack:   push, pop or -   (one word of the data stack)
# opnd:    what it does to the data word the operand NAMES --
#          r       reads its value
#          w       writes its value
#          base_r  reads an unknown word of the array it names (indirect)
#          base_w  writes an unknown word of the array it names (indirect)
#          addr    takes its address only; the value is not touched
#          -       no data operand
# flow:    jmp, jz, call, ret or -
# io:      in, out or -
#
# Several mnemonics share one opcode and differ only in how the assembler reads
# the operand: LOD, LEA and LOD_V are all opcode 1.
#
# WHERE THE EFFECT COLUMNS COME FROM, and how far to trust them. They are
# derived from the naming convention the ISA follows without exception --
# prefix P_/PF_ pushes the accumulator first, prefix S_/SF_ takes the second
# operand off the stack, suffix _M reads the operand from memory instead of the
# accumulator, suffix _V adds a constant offset -- plus the per-mnemonic
# comments in ASMComp.l, which is where LEA and the indirect forms come from. check_isa.py re-derives them from the names and fails on any row
# that breaks the convention, so a typo cannot survive here. What that does NOT
# give is execution: no instruction has been run to confirm its effect. The
# instruction-set simulator of TODO item 10.1 is what will validate these
# columns; until it exists they are a careful reading, not a measurement.
#
# mnemonic	opcode	operand	acc	stack	opnd	flow	io	description
NOP	0	none	-	-	-	-	-	no operation
LOD	1	data	w	-	r	-	-	loads data from memory
P_LOD	2	data	rw	push	r	-	-	PUSH + LOD
LDI	3	data	rw	-	base_r	-	-	LOD with indirect addressing (index in acc)
ILI	4	data	rw	-	base_r	-	-	LOD with reverse indirect addressing (FFT)
SET	5	data	r	-	w	-	-	stores data in memory
SET_P	6	data	rw	pop	w	-	-	SET + POP
STI	7	data	r	pop	base_w	-	-	SET with indirect addressing (index on stack)
ISI	8	data	r	pop	base_w	-	-	SET with reverse indirect addressing (FFT)
PSH	9	none	r	push	-	-	-	pushes data onto the stack
POP	10	none	w	pop	-	-	-	pops data from the stack
INN	11	in	w	-	-	-	in	data input
F_INN	12	in	w	-	-	-	in	floating-point data input
P_INN	13	in	rw	push	-	-	in	PUSH +   INN
PF_INN	14	in	rw	push	-	-	in	PUSH + F_INN
OUT	15	out	r	-	-	-	out	data output
JMP	16	code	-	-	-	jmp	-	unconditional jump
JIZ	17	code	r	-	-	jz	-	jump if acc is zero
CAL	18	code	-	-	-	call	-	subroutine call
RET	19	none	-	-	-	ret	-	subroutine return
ADD	20	data	rw	-	r	-	-	fixed-point addition with memory
S_ADD	21	none	rw	pop	-	-	-	fixed-point addition with stack
MLT	22	data	rw	-	r	-	-	fixed-point multiplication with memory
S_MLT	23	none	rw	pop	-	-	-	fixed-point multiplication with stack
DIV	24	data	rw	-	r	-	-	fixed-point division with memory
S_DIV	25	none	rw	pop	-	-	-	fixed-point division with stack
MOD	26	data	rw	-	r	-	-	fixed-point remainder with memory
S_MOD	27	none	rw	pop	-	-	-	fixed-point remainder with stack
SGN	28	data	rw	-	r	-	-	fixed-point sign with memory
S_SGN	29	none	rw	pop	-	-	-	fixed-point sign with stack
F_ADD	30	data	rw	-	r	-	-	floating-point addition with memory
SF_ADD	31	none	rw	pop	-	-	-	floating-point addition with stack
F_SU1	32	data	rw	-	r	-	-	floating-point subtraction with memory at input 1
F_SU2	33	data	rw	-	r	-	-	floating-point subtraction with memory at input 2
SF_SU1	34	none	rw	pop	-	-	-	floating-point subtraction with stack at input 1
SF_SU2	35	none	rw	pop	-	-	-	floating-point subtraction with stack at input 2
F_MLT	36	data	rw	-	r	-	-	floating-point multiplication with memory
SF_MLT	37	none	rw	pop	-	-	-	floating-point multiplication with stack
F_DIV	38	data	rw	-	r	-	-	floating-point division with memory
SF_DIV	39	none	rw	pop	-	-	-	floating-point division with stack
F_SGN	40	data	rw	-	r	-	-	floating-point sign with memory
SF_SGN	41	none	rw	pop	-	-	-	floating-point sign with stack
F_SCL	42	data	rw	-	r	-	-	scale float by 2^k, k from memory
SF_SCL	43	none	rw	pop	-	-	-	scale float by 2^k, k from stack
NEG	44	none	rw	-	-	-	-	fixed-point negation with acc
NEG_M	45	data	w	-	r	-	-	fixed-point negation with memory
P_NEG_M	46	data	rw	push	r	-	-	PUSH +   NEG_M
ABS	47	none	rw	-	-	-	-	fixed-point abs with acc
ABS_M	48	data	w	-	r	-	-	fixed-point abs with memory
P_ABS_M	49	data	rw	push	r	-	-	PUSH +   ABS_M
PST	50	none	rw	-	-	-	-	clears if negative, fixed-point with acc
PST_M	51	data	w	-	r	-	-	clears if negative, fixed-point with memory
P_PST_M	52	data	rw	push	r	-	-	PUSH +   PST_M
NRM	53	none	rw	-	-	-	-	divides by constant, fixed-point with acc
NRM_M	54	data	w	-	r	-	-	divides by constant, fixed-point with memory
P_NRM_M	55	data	rw	push	r	-	-	PUSH +   NRM_M
INV	56	none	rw	-	-	-	-	not with acc
INV_M	57	data	w	-	r	-	-	not with mem
P_INV_M	58	data	rw	push	r	-	-	PUSH + INV_M
LIN	59	none	rw	-	-	-	-	logical inversion with acc
LIN_M	60	data	w	-	r	-	-	logical inversion with mem
P_LIN_M	61	data	rw	push	r	-	-	PUSH + LIN_M
F_NEG	62	none	rw	-	-	-	-	floating-point negation with acc
F_NEG_M	63	data	w	-	r	-	-	floating-point negation with memory
PF_NEG_M	64	data	rw	push	r	-	-	PUSH + F_NEG_M
